Chunk,Layer,Shape,Shape type,Area (mm^2)
Chunk 1,2636,1,Polygon,7.469716814524113
Chunk 1,808,3,Polygon,0.8729983156549658
Chunk 1,808,1,Polygon,0.9825976982814062
Chunk 1,808,2,Polygon,1.3394738390337564
Chunk 1,1161,1,Polygon,2.2748177025331167
Chunk 1,1498,1,Polygon,3.2264742040167698
Chunk 1,1498,3,Polygon,1.0484814526175614
Chunk 1,1826,1,Polygon,4.734964879007245
Chunk 1,3581,3,Polygon,1.3437947398701686
Chunk 1,3581,4,Polygon,0.7856731724537571
Chunk 1,278,1,Polygon,4.256194144759984
Chunk 1,278,3,Polygon,0.6872873488537741
Chunk 1,1196,4,Polygon,0.5559725293509356
Chunk 1,1196,3,Polygon,0.9030636095404287
Chunk 1,457,1,Polygon,1.9510208805649372
Chunk 1,2895,1,Polygon,3.6878838795134508
Chunk 1,2895,2,Polygon,2.106427688165554
Chunk 1,2895,3,Polygon,0.26299576250249185
Chunk 1,3462,1,Polygon,1.4174515997877057
Chunk 1,2347,3,Polygon,1.3214235807746684
Chunk 1,1957,1,Polygon,2.5972269402538686
Chunk 1,1957,2,Polygon,2.6898675269542793
Chunk 1,1957,3,Polygon,0.6271735907704241
Chunk 1,1750,1,Polygon,3.3661139667443742
Chunk 1,1937,3,Polygon,0.7531133155281381
Chunk 1,1510,3,Polygon,0.5564534323744761
Chunk 1,1510,4,Polygon,0.7702330746703542
Chunk 1,3154,3,Polygon,0.5835188164708612
Chunk 1,3154,4,Polygon,0.8529195257207259
Chunk 1,1333,1,Polygon,4.9831406567084455
Chunk 1,1333,2,Polygon,3.13484608274479
Chunk 1,896,1,Polygon,2.050748725264278
Chunk 1,896,2,Polygon,1.981647959774642
Chunk 1,896,3,Polygon,1.8272469819406203
Chunk 1,96,1,Polygon,7.95345587077093
Chunk 1,96,2,Polygon,3.2692508683675015
Chunk 1,96,3,Polygon,1.2311939580355906
Chunk 1,1525,1,Polygon,13.814696496287135
Chunk 1,1525,2,Polygon,1.7986448335877572
Chunk 1,1525,3,Polygon,1.0201187052070353
Chunk 1,1525,4,Polygon,0.9747134333436909
Chunk 1,2855,1,Polygon,3.5288387765056224
Chunk 1,2855,2,Polygon,1.2630506219536888
Chunk 1,326,3,Polygon,0.5760301628788147
Chunk 1,1108,1,Polygon,1.6630598799327698
Chunk 1,1108,2,Polygon,15.094847072310692
Chunk 1,1108,3,Polygon,0.6386125689757816
Chunk 1,1108,4,Polygon,0.8299685349471214
Chunk 1,3261,1,Polygon,1.1650664474983752
Chunk 1,3261,2,Polygon,1.3949155547854473
Chunk 1,2602,1,Polygon,2.022060180029444
Chunk 1,2602,2,Polygon,4.8537906134851205
Chunk 1,2602,3,Polygon,0.869228506413037
Chunk 1,2602,4,Polygon,0.5959310961447584
Chunk 1,1453,1,Polygon,2.88610542434767
Chunk 1,1453,2,Polygon,17.624548560791332
Chunk 1,1453,3,Polygon,0.7457205556461358
Chunk 1,1453,4,Polygon,0.8452521636425555
